review,sentiment,total_words,total_chars,sequence,padded
maybe would reasonable explanation atrocity,0,5,43,"[471, 17, 482, 1317, 2088]","[ 471   17  482 1317 2088    0    0    0    0    0    0    0    0    0
    0    0]"
pleasant voyage self discovery,0,4,30,"[773, 2089, 479, 2090]","[ 773 2089  479 2090    0    0    0    0    0    0    0    0    0    0
    0    0]"
highly unrecommended,0,2,20,"[116, 2091]","[ 116 2091    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
premise sound stupid that is,0,5,28,"[979, 35, 206, 82, 165]",[979  35 206  82 165   0   0   0   0   0   0   0   0   0   0   0]
yes bad,0,2,7,"[743, 15]",[743  15   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
nothing recommend,0,2,17,"[95, 40]",[95 40  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
excellent performance m,1,3,23,"[34, 178, 1318]","[  34  178 1318    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
also great see renowned silent screenwriter france marion missed step going silent sound,1,13,88,"[23, 3, 50, 2092, 980, 981, 2093, 2094, 774, 982, 67, 980, 35]","[  23    3   50 2092  980  981 2093 2094  774  982   67  980   35    0
    0    0]"
movie suffered writing needed suspense,0,5,38,"[2, 2095, 264, 469, 467]","[   2 2095  264  469  467    0    0    0    0    0    0    0    0    0
    0    0]"
many close ups,0,3,14,"[117, 642, 775]",[117 642 775   0   0   0   0   0   0   0   0   0   0   0   0   0]
movie seemed drag hero really work freedom,0,7,42,"[2, 643, 1319, 2096, 13, 14, 983]","[   2  643 1319 2096   13   14  983    0    0    0    0    0    0    0
    0    0]"
movie definitely average rent,0,4,29,"[2, 65, 405, 557]",[  2  65 405 557   0   0   0   0   0   0   0   0   0   0   0   0]
you ll love it,1,4,14,"[217, 2097, 26, 7]","[ 217 2097   26    7    0    0    0    0    0    0    0    0    0    0
    0    0]"
movie bad,0,2,9,"[2, 15]",[ 2 15  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
bad,0,1,3,[15],[15  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
film way long,0,3,13,"[5, 43, 89]",[ 5 43 89  0  0  0  0  0  0  0  0  0  0  0  0  0]
definitely one bad one,0,4,22,"[65, 6, 15, 6]",[65  6 15  6  0  0  0  0  0  0  0  0  0  0  0  0]
movie received great quality film age,1,6,37,"[2, 334, 3, 24, 5, 644]",[  2 334   3  24   5 644   0   0   0   0   0   0   0   0   0   0]
john wayne incredible job young movie industry,1,7,46,"[1320, 1321, 273, 138, 1247, 2, 984]","[1320 1321  273  138 1247    2  984    0    0    0    0    0    0    0
    0    0]"
screen presence shined thought even though senior actor screen him,1,10,66,"[112, 1259, 2098, 128, 19, 215, 2099, 121, 112, 645]","[ 112 1259 2098  128   19  215 2099  121  112  645    0    0    0    0
    0    0]"
think must see older john wayne film,1,7,36,"[45, 155, 50, 1322, 1320, 1321, 5]","[  45  155   50 1322 1320 1321    5    0    0    0    0    0    0    0
    0    0]"
really see anyone could enjoy movie,0,6,35,"[13, 50, 129, 37, 261, 2]",[ 13  50 129  37 261   2   0   0   0   0   0   0   0   0   0   0]
think ever seen movie half boring self indulgent piece junk,0,10,59,"[45, 20, 99, 2, 357, 329, 479, 1323, 80, 374]","[  45   20   99    2  357  329  479 1323   80  374    0    0    0    0
    0    0]"
probably would better director spent movie showcasing art work really noteworthy,0,11,80,"[132, 17, 36, 265, 985, 2, 2100, 235, 14, 13, 1324]","[ 132   17   36  265  985    2 2100  235   14   13 1324    0    0    0
    0    0]"
another thing really like character got punched face gallon blood would spew forth soon after,0,15,93,"[136, 31, 13, 11, 39, 53, 2101, 404, 2102, 1325, 17, 2103, 1326, 307, 2104]","[ 136   31   13   11   39   53 2101  404 2102 1325   17 2103 1326  307
 2104    0]"
jamie foxx absolutely ray charles,1,5,33,"[2105, 2106, 131, 776, 777]","[2105 2106  131  776  777    0    0    0    0    0    0    0    0    0
    0    0]"
performance simply genius,1,3,25,"[178, 203, 1327]","[ 178  203 1327    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
owns film spacek owned coal miner daughter quaid owned great ball fire,1,12,70,"[2107, 5, 2108, 646, 2109, 2110, 778, 2111, 646, 3, 986, 987]","[2107    5 2108  646 2109 2110  778 2111  646    3  986  987    0    0
    0    0]"
fact hard remember part ray charles acted played man himself,1,10,60,"[266, 213, 779, 135, 776, 777, 946, 420, 356, 2112]","[ 266  213  779  135  776  777  946  420  356 2112    0    0    0    0
    0    0]"
ray charles legendary,1,3,21,"[776, 777, 2113]","[ 776  777 2113    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
ray charles life provided excellent biographical material film go well beyond another movie musician,1,14,100,"[776, 777, 92, 647, 34, 2114, 988, 5, 21, 16, 481, 136, 2, 2115]","[ 776  777   92  647   34 2114  988    5   21   16  481  136    2 2115
    0    0]"
hitchcock great director,1,3,24,"[989, 3, 265]",[989   3 265   0   0   0   0   0   0   0   0   0   0   0   0   0]
ironically mostly find film total waste time watch,0,8,50,"[2116, 483, 148, 5, 648, 84, 8, 160]","[2116  483  148    5  648   84    8  160    0    0    0    0    0    0
    0    0]"
secondly hitchcock pretty much perfected thriller chase movie,1,8,61,"[2117, 989, 46, 33, 2118, 649, 2119, 2]","[2117  989   46   33 2118  649 2119    2    0    0    0    0    0    0
    0    0]"
pandering audience sabotage film,0,4,32,"[2120, 728, 2121, 5]","[2120  728 2121    5    0    0    0    0    0    0    0    0    0    0
    0    0]"
hence whole story lack certain energy,0,6,37,"[1328, 308, 98, 540, 1329, 749]","[1328  308   98  540 1329  749    0    0    0    0    0    0    0    0
    0    0]"
plot simply rumble like machine desperately depending addition new scene,0,10,72,"[108, 203, 2122, 11, 990, 2123, 2124, 991, 86, 78]","[ 108  203 2122   11  990 2123 2124  991   86   78    0    0    0    0
    0    0]"
usual hitchcock logic flaw,0,4,26,"[780, 989, 2125, 559]","[ 780  989 2125  559    0    0    0    0    0    0    0    0    0    0
    0    0]"
mishima extremely uninteresting,0,3,31,"[1330, 328, 1331]","[1330  328 1331    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
chilly unremarkable movie author living working chilly abstruse culture,0,9,71,"[1332, 2126, 2, 2127, 560, 218, 1332, 2128, 1333]","[1332 2126    2 2127  560  218 1332 2128 1333    0    0    0    0    0
    0    0]"
flat reenactment hold attention emotionally adrift stagy,0,7,56,"[612, 2129, 309, 781, 2130, 2131, 2132]","[ 612 2129  309  781 2130 2131 2132    0    0    0    0    0    0    0
    0    0]"
rest sits awful soldier singing song masculinity pledge to hairsplitting purity admiration sword etc,0,14,100,"[455, 2133, 137, 2134, 1334, 454, 2135, 2136, 375, 2137, 2138, 2139, 2140, 561]","[ 455 2133  137 2134 1334  454 2135 2136  375 2137 2138 2139 2140  561
    0    0]"
bore piece kill momentum movie quicker anyone else,0,8,50,"[992, 80, 2141, 2142, 2, 2143, 129, 484]","[ 992   80 2141 2142    2 2143  129  484    0    0    0    0    0    0
    0    0]"
schrader made resume full lousy amateurish film,0,7,47,"[1335, 28, 2144, 310, 950, 2145, 5]","[1335   28 2144  310  950 2145    5    0    0    0    0    0    0    0
    0    0]"
first watched movie loved it,1,5,28,"[42, 331, 2, 134, 7]",[ 42 331   2 134   7   0   0   0   0   0   0   0   0   0   0   0]
totally fascinated music dancing everything,1,5,43,"[158, 2146, 175, 1336, 60]","[ 158 2146  175 1336   60    0    0    0    0    0    0    0    0    0
    0    0]"
mean realistic world would never gotten ballet repertory whole thing quite pathetic,0,12,83,"[423, 2147, 422, 17, 38, 782, 2148, 2149, 308, 31, 97, 650]","[ 423 2147  422   17   38  782 2148 2149  308   31   97  650    0    0
    0    0]"
character development also lacked depth,0,5,39,"[39, 1337, 23, 651, 762]","[  39 1337   23  651  762    0    0    0    0    0    0    0    0    0
    0    0]"
woa talk awful,0,3,14,"[2150, 207, 137]","[2150  207  137    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
waste time,0,2,10,"[84, 8]",[84  8  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
worst sappiest dialogue could go on,0,6,35,"[51, 2151, 299, 37, 21, 301]","[  51 2151  299   37   21  301    0    0    0    0    0    0    0    0
    0    0]"
really made unwatchable direction,0,4,33,"[13, 28, 2152, 638]","[  13   28 2152  638    0    0    0    0    0    0    0    0    0    0
    0    0]"
poor actor,0,2,10,"[101, 121]",[101 121   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
can t even tell talent pathetic line speak director gave action,0,11,63,"[106, 74, 19, 335, 1338, 650, 130, 917, 265, 367, 424]","[ 106   74   19  335 1338  650  130  917  265  367  424    0    0    0
    0    0]"
check director filmography site see film chance,0,7,47,"[376, 265, 2153, 1339, 50, 5, 1340]","[ 376  265 2153 1339   50    5 1340    0    0    0    0    0    0    0
    0    0]"
would even good made tv flick,0,6,29,"[17, 19, 1, 28, 366, 544]",[ 17  19   1  28 366 544   0   0   0   0   0   0   0   0   0   0]
good intention made film great film might one greatest film ever made,1,12,69,"[1, 2154, 28, 5, 3, 5, 562, 6, 921, 5, 20, 28]","[   1 2154   28    5    3    5  562    6  921    5   20   28    0    0
    0    0]"
regrettably film fails,0,3,22,"[2155, 5, 425]","[2155    5  425    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
movie lack visual interest drama expression feeling celebration patriotism underline narrative,0,11,94,"[2, 540, 993, 994, 426, 2156, 297, 2157, 2158, 2159, 995]","[   2  540  993  994  426 2156  297 2157 2158 2159  995    0    0    0
    0    0]"
actress worse used june allison movie,0,6,37,"[563, 305, 109, 2160, 2161, 2]","[ 563  305  109 2160 2161    2    0    0    0    0    0    0    0    0
    0    0]"
yet enjoy watching it,1,4,21,"[377, 261, 152, 7]",[377 261 152   7   0   0   0   0   0   0   0   0   0   0   0   0]
unfortunately bad movie plain bad,0,5,33,"[269, 15, 2, 652, 15]",[269  15   2 652  15   0   0   0   0   0   0   0   0   0   0   0]
bad script bad direction horrible acting make one plain bad,0,10,59,"[15, 114, 15, 638, 163, 57, 29, 6, 652, 15]",[ 15 114  15 638 163  57  29   6 652  15   0   0   0   0   0   0]
dialogue sucked,0,2,15,"[299, 270]",[299 270   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
cinematography if called that sucked,0,5,36,"[361, 1341, 783, 82, 270]","[ 361 1341  783   82  270    0    0    0    0    0    0    0    0    0
    0    0]"
soundtrack sucked,0,2,17,"[653, 270]",[653 270   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
acting sucked,0,2,13,"[57, 270]",[ 57 270   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
concert sequence sucked,0,3,23,"[2162, 996, 270]","[2162  996  270    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
nice,1,1,4,[32],[32  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
funny,1,1,5,[177],[177   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
overall movie cheap trash,0,4,25,"[159, 2, 180, 654]",[159   2 180 654   0   0   0   0   0   0   0   0   0   0   0   0]
movie funny considering ridiculousness it,0,5,41,"[2, 177, 564, 2163, 7]","[   2  177  564 2163    7    0    0    0    0    0    0    0    0    0
    0    0]"
came feeling angry,0,3,18,"[73, 297, 1342]","[  73  297 1342    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
spoiler whatever else or can t said it surface superbly crafted,1,11,63,"[784, 459, 484, 974, 106, 74, 219, 7, 2164, 1280, 2165]","[ 784  459  484  974  106   74  219    7 2164 1280 2165    0    0    0
    0    0]"
cinematography simply stunning to say least fx nothing state of the art,1,12,71,"[361, 203, 997, 375, 55, 262, 998, 95, 1343, 453, 245, 235]","[ 361  203  997  375   55  262  998   95 1343  453  245  235    0    0
    0    0]"
conceptually show offer little bit everything everybody parent kid fantasy and or fx fan,1,14,88,"[2166, 123, 565, 63, 199, 60, 2167, 941, 292, 2168, 298, 974, 998, 378]","[2166  123  565   63  199   60 2167  941  292 2168  298  974  998  378
    0    0]"
single sour note struck acting wise either surprisingly solid casting here,1,11,74,"[457, 1344, 655, 1345, 57, 999, 220, 2169, 566, 614, 96]","[ 457 1344  655 1345   57  999  220 2169  566  614   96    0    0    0
    0    0]"
thing considered job well done,1,5,30,"[31, 2170, 138, 16, 208]","[  31 2170  138   16  208    0    0    0    0    0    0    0    0    0
    0    0]"
thanks good movie like done released,1,6,36,"[1000, 1, 2, 11, 208, 1001]","[1000    1    2   11  208 1001    0    0    0    0    0    0    0    0
    0    0]"
one best mexican movie ever one le understood even mexican themselves matter identified felt it,1,15,95,"[6, 18, 785, 2, 20, 6, 311, 2171, 19, 785, 2172, 2173, 2174, 221, 7]","[   6   18  785    2   20    6  311 2171   19  785 2172 2173 2174  221
    7    0]"
rank highly great noir crime drama incredible performance belmondo lino ventura,1,11,79,"[1002, 116, 3, 1346, 2175, 426, 273, 178, 2176, 2177, 2178]","[1002  116    3 1346 2175  426  273  178 2176 2177 2178    0    0    0
    0    0]"
attention given every character complex psychological portrayal detailing loyalty treachery love hope tremendous,1,13,112,"[781, 416, 70, 39, 1347, 1348, 464, 2179, 2180, 2181, 26, 427, 1003]","[ 781  416   70   39 1347 1348  464 2179 2180 2181   26  427 1003    0
    0    0]"
excellent drama excellent thriller excellent film,1,6,49,"[34, 426, 34, 649, 34, 5]",[ 34 426  34 649  34   5   0   0   0   0   0   0   0   0   0   0]
best melville,1,2,13,"[18, 2182]","[  18 2182    0    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
everything film simply incredible,1,4,33,"[60, 5, 203, 273]",[ 60   5 203 273   0   0   0   0   0   0   0   0   0   0   0   0]
truly take journey eye soul child,1,6,33,"[304, 124, 1004, 567, 1349, 414]","[ 304  124 1004  567 1349  414    0    0    0    0    0    0    0    0
    0    0]"
black water thriller manages completely transcend limitation it indie flick continually subverting expectation emerge intense experience,1,16,136,"[222, 786, 649, 2183, 246, 2184, 2185, 7, 2186, 544, 2187, 2188, 1005, 2189, 2190, 75]","[ 222  786  649 2183  246 2184 2185    7 2186  544 2187 2188 1005 2189
 2190   75]"
thoroughly enjoyed christopher eccleston took control tardis continuation series,1,9,80,"[787, 214, 2191, 2192, 272, 788, 2193, 2194, 323]","[ 787  214 2191 2192  272  788 2193 2194  323    0    0    0    0    0
    0    0]"
sure trying film,0,3,16,"[188, 403, 5]",[188 403   5   0   0   0   0   0   0   0   0   0   0   0   0   0]
turn good day feeling night disturbing memory guess succeeded,0,9,61,"[274, 1, 87, 297, 162, 1350, 656, 358, 2195]","[ 274    1   87  297  162 1350  656  358 2195    0    0    0    0    0
    0    0]"
lot beautiful place,1,3,19,"[79, 189, 10]",[ 79 189  10   0   0   0   0   0   0   0   0   0   0   0   0   0]
forced like everything movie,0,4,28,"[1006, 11, 60, 2]","[1006   11   60    2    0    0    0    0    0    0    0    0    0    0
    0    0]"
again lame,0,2,10,"[69, 789]",[ 69 789   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
here movie really pi ed off,0,6,27,"[96, 2, 13, 2196, 933, 312]","[  96    2   13 2196  933  312    0    0    0    0    0    0    0    0
    0    0]"
even get started jerky camerawork,0,5,33,"[19, 25, 313, 1351, 1352]","[  19   25  313 1351 1352    0    0    0    0    0    0    0    0    0
    0    0]"
saw theater thought going sick,0,5,30,"[257, 790, 128, 67, 485]",[257 790 128  67 485   0   0   0   0   0   0   0   0   0   0   0]
summary witticism witty,0,3,23,"[1007, 2197, 1353]","[1007 2197 1353    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
plot well said let one go,0,6,25,"[108, 16, 219, 296, 6, 21]",[108  16 219 296   6  21   0   0   0   0   0   0   0   0   0   0]
acting bad,0,2,10,"[57, 15]",[57 15  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
really bad,0,2,10,"[13, 15]",[13 15  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
even billy bob rise script worse,0,6,32,"[19, 2198, 2199, 2200, 114, 305]","[  19 2198 2199 2200  114  305    0    0    0    0    0    0    0    0
    0    0]"
camerawork again bad,0,3,20,"[1352, 69, 15]","[1352   69   15    0    0    0    0    0    0    0    0    0    0    0
    0    0]"
rating,0,1,6,[474],[474   0   0   0   0   0   0   0   0   0   0   0   0   0   0   0]
amazing finale possibly best trilogy time,1,6,41,"[62, 2201, 1008, 18, 1009, 8]","[  62 2201 1008   18 1009    8    0    0    0    0    0    0    0    0
    0    0]"
kieslowski never cease amaze me,1,5,31,"[2202, 38, 1354, 2203, 103]","[2202   38 1354 2203  103    0    0    0    0    0    0    0    0    0
    0    0]"
